LABEL-1,LABEL-3,LABEL-4,LABEL-5,LABEL-7
https://www.bankeebricks.ph/21005-home_default_2x/lego-friends-42637-advent-calendar-2024-age-6-building-blocks-2024-272pcs-multicolor.jpg,"LEGO® Friends 42637 Advent Calendar 2024, Age 6+, Building Blocks, 2024 (272pcs)","PHP 2,299.00",15In Stock,"Give kids aged 6+ a festive treat as they open the doors of the LEGO® Friends Advent Calendar 2024 (42637) Christmas countdown toy. The set comes with 5 characters, including little Olly, little Paisley, Paisley's mom, dad and younger sister, plus 2 baby pet characters. There's also a snow cat figure and lots of accessories.The calendar takes a trip back..."
https://www.bankeebricks.ph/21006-home_default_2x/lego-disney-princess-43253-advent-calendar-2024-age-5-building-blocks-2024-253pcs-multicolor.jpg,"LEGO® Disney Princess 43253 Advent Calendar 2024, Age 5+, Building Blocks, 2024 (253pcs)","PHP 2,999.00",9In Stock,"Start the holiday countdown for kids aged 5+ with the fun Christmas Advent Calendar 2024 (43253) full of Disney gifts. This building set for kids includes Elsa, Tiana, Ariel, Moana and Mirabel LEGO® ? Disney micro-doll figures, plus LEGO ? Disney Pua, Snowgie and adorable baby reindeer Sven characters. Behind every door is a character or mini build to..."
https://www.bankeebricks.ph/21012-home_default_2x/lego-city-60436-advent-calendar-2024-age-5-building-blocks-2024-195pcs-multicolor.jpg,"LEGO® City 60436 Advent Calendar 2024, Age 5+, Building Blocks, 2024 (195pcs)","PHP 2,299.00",1In Stock,"Build up the excitement of the countdown to Christmas with the LEGO® City Advent Calendar 2024 (60436) for kids aged 5 and up. This year's Christmas calendar is packed with fun characters, seasonal mini builds and cool minifigure accessories. Kids can also fold out the playmat on the box to create a snowy winter village scene, the perfect setting for..."
https://www.bankeebricks.ph/21032-home_default_2x/lego-harry-potter-76438-advent-calendar-2024-age-7-building-blocks-2024-301pcs-multicolor.jpg,"LEGO® Harry Potter 76438 Advent Calendar 2024, Age 7+, Building Blocks, 2024 (301pcs)","PHP 2,999.00",6In Stock,"Every day leading up to Christmas brings another magical, buildable Hogwarts™ adventure with the LEGO® Harry Potter™ 2024 Advent Calendar (76438) fantasy toy playset for kids.Children will discover LEGO Harry Potter mini build toys related to the 4 Hogwarts houses, including a gargoyle and table that is covered in festive items for each of Gryffindor™,..."
https://www.bankeebricks.ph/21025-home_default_2x/lego-super-heroes-76293-spider-man-2024-advent-calendar-age-7-building-blocks-2024-246pcs-multicolor.jpg,"LEGO® Super Heroes 76293 Spider-Man 2024 Advent Calendar, Age 7+, Building Blocks, 2024 (246pcs)","PHP 2,999.00",12In Stock,"Give a young Marvel fan the perfect start to the holidays with the LEGO® Spider-Man 2024 Advent Calendar (76293). Filled with Super Hero fun, buildable models and LEGO® Marvel Spider-Man minifigures, this set is the perfect seasonal holiday gift for boys and girls aged 7 and up. The fun will start on December 1 and continue long after the last door has..."
https://www.bankeebricks.ph/20992-home_default_2x/lego-d2c-superheroes-76294-x-men--the-x-mansion-age-18-building-blocks-2024-3093pcs-multicolor.jpg,"LEGO® D2C Superheroes 76294 X-Men: The X-Mansion, Age 18+, Building Blocks, 2024 (3093pcs)","PHP 21,999.00",4In Stock,"The LEGO® Marvel X-Men: The X-Mansion (76294) set for adult enthusiasts is a detailed recreation of the Xavier Institute for Higher Learning. This buildable model makes an ideal gift for adult fans of Super Hero adventures.The 2-level 3,093-piece X-Men X-Mansion measures over 16 in. (40 cm) wide and features a buildable Sentinel figure and 10 X-Men..."
https://www.bankeebricks.ph/20985-home_default_2x/lego-d2c-ideas-21353-the-botanical-garden-age-18-building-blocks-2024-3792pcs-multicolor.jpg,"LEGO® D2C Ideas 21353 The Botanical Garden, Age 18+, Building Blocks, 2024 (3792pcs)","PHP 21,999.00",4In Stock,"Build your connection to the natural world and create calming living room decor with this LEGO® Ideas botanical garden set (21353). A delightful nature gift for men, women and any gardeners or flower-lovers, the buildable Victorian-style glasshouse has 3 atriums with removable roofs and walls for easy access to the detailed interior. The main atrium..."
https://www.bankeebricks.ph/20971-home_default_2x/lego-lel-seasons-and-occasions-40746-santas-delivery-truck-age-8-building-blocks-2024-224pcs-multicolor.jpg,"LEGO® LEL Seasons and Occasions 40746 Santa's Delivery Truck, Age 8+, Building Blocks, 2024 (224pcs)","PHP 1,499.00",22In Stock,"Fuel festive fun with this LEGO® Santa's Delivery Truck (40746) holiday building set for boys and girls aged 8 and up, which sparks magical pretend play.Packed with enchanting elements, this LEGO Christmas playset lets kids become Santa's helpers as they assemble the truck toy while discovering the magic inside. The vehicle opens to reveal Christmas..."
https://www.bankeebricks.ph/20913-home_default_2x/lego-d2c-star-wars-tm-75397-ucs-jabba-s-sail-barge-age-18-building-blocks-2024-3942pcs-multicolor.jpg,"LEGO® D2C Star Wars TM 75397 UCS jabbas Sail Barge, Age 18+, Building Blocks, 2024 (3942pcs)","PHP 33,999.00",4In Stock,"Relive Star Wars: Return of the Jedi scenes aboard Jabba's Sail Barge with this LEGO® Star Wars™ Ultimate Collector Series display set for adults (75397). A top gift for any Star Wars fan or UCS collector, this playful buildable model measures over 30.5 in. (77 cm) long. It has adjustable textile sails and a top deck that lifts off and sides that fold..."
https://www.bankeebricks.ph/20934-home_default_2x/lego-d2c-wednesday-76780-wednesday-adams-figure-age-10-building-blocks-2024-702pcs-multicolor.jpg,"LEGO® D2C Wednesday 76780 Wednesday Adams Figure, Age 10+, Building Blocks, 2024 (702pcs)","PHP 3,799.00",12In Stock,"Mysteries and mayhem await kids aged 10 and up in the Wednesday Addams Figure (76780) set. This LEGO® Wednesday gift set features a collectible, posable model with movable head, arms and feet, plus 2 faces and 2 outfits so the figure can be rebuilt. The set includes her loyal sidekick Thing, a stand with toy black dahlias and 2 hidden spaces to hold..."
